word,count,site
좋다,131,kakao
많다,37,kakao
아름답다,32,kakao
조선,29,kakao
야간,27,kakao
사람,24,kakao
개장,24,kakao
최고,21,kakao
예쁘다,21,kakao
한복,21,kakao
멋지다,21,kakao
아이,20,kakao
궁궐,19,kakao
사진,18,kakao
입다,18,kakao
좋다,874,tripadvisor
많다,585,tripadvisor
궁전,557,tripadvisor
아름답다,504,tripadvisor
시간,406,tripadvisor
서울,401,tripadvisor
한국,401,tripadvisor
역사,373,tripadvisor
입다,356,tripadvisor
팰리스,326,tripadvisor
사람,324,tripadvisor
사진,274,tripadvisor
무료,266,tripadvisor
건물,260,tripadvisor
투어,245,tripadvisor
한복,495,tripdotcom
한국,494,tripdotcom
궁궐,429,tripdotcom
입다,368,tripdotcom
좋다,366,tripdotcom
아름답다,306,tripdotcom
서울,253,tripdotcom
사진,248,tripdotcom
역사,227,tripdotcom
많다,207,tripdotcom
찍다,178,tripdotcom
무료,170,tripdotcom
자금성,167,tripdotcom
시간,152,tripdotcom
사람,151,tripdotcom
